Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,2451.39634,2518.278708,2547.166987,2519.268295,2620.440587,2626.545065,2661.312736,2609.624353,2600.619535,2565.593485,2634.886801,2521.436367,2350.295649,2368.231373,2422.466782,2450.937477,2491.142248,2517.522535,2569.551877,2677.423462,2592.550863,2697.028695,2594.195505,2665.785222
Argentina,5.985,6.541,5.39,7.03,7.313,6.37,7.153,6.722,6.85,7.59,6.691,5.894,5.903,5.7316,5.258,6.6441,7.8202,5.7706,6.5143,7.9695,10.0644,10.17,7.467,8.963
Armenia,1.84,1.987,2.09,1.82,2.205,2.504,2.422,2.3478,2.266,2.29,2.287,2.357,2.124,2.168,2.266,2.571,2.195,2.411,1.898,2.029,2.552,1.85,2.631,2.512
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,5.78,4.685,11.735
Belgium,45.749,44.032,44.992,45.011,44.946,45.335,44.314,45.853,43.359,44.96,45.728,45.942,38.464,40.632,32.094,24.825,41.4305,40.1285,27.1263,41.3056,32.6058,47.8917,41.6165825,31.2301865
Brazil,4.94,14.268,13.84,13.4,11.6,9.197,12.984,11.65,13.209,12.224,13.774,14.795,15.17,14.645,14.463,13.9074,14.974,14.8562,14.7945,15.1611,13.2094,13.6843,14.559,14.517
Bulgaria,17.269,18.238,20.22,16.04,15.598,17.378,18.154,13.6948,14.742,14.219,14.236,15.264,14.861,13.316,15.014,14.528,14.932,14.7184,15.2912,15.7124,15.7873,15.6508,16.462,16.163
Canada,69.159,72.858,71.75,71.147,85.868,86.831,92.436,88.193,88.299,85.129,85.527,88.291,89.492,97.584,101.208,96.046,95.687,95.565,95.03,95.469,92.6516,73.628,82.301,84.5658234
China,15.903,16.597,25.166,41.661,47.946,50.332,51.81,59.299,65.325,65.713,73.88,86.35,97.39,111.61,132.54,170.79,213.29,248.07,294.36,348.35,366.25,407.523,417.786,433.371
Czechia,12.911,14.012,17.801,24.577,25.009,23.255,24.499,24.635,25.018,25.665,26.346,26.602,28.603,29.001,28.633,25.335,22.727,26.7856,28.2525,28.5794,28.3697,29.045,31.021,30.411
