Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,15113.63355,15344.76346,15906.17622,16492.90824,17265.76468,17964.68017,18700.66366,19553.85233,19879.07796,19769.83012,21109.96977,21835.76751,22301.85394,23077.50863,23685.59403,23966.22115,24560.56781,25289.91394,26103.15061,26496.59366,26525.5074,27907.07043,28551.79613,29140.19541
Afghanistan,0.484,0.6859,0.7062,0.904,0.797,0.825,0.904,1.014,0.789,0.8901,0.8763,0.7713,0.882,1.1034,1.159,1.1832,1.2147,1.2643,1.1649,1.4597,1.1783,1.059,0.961378,0.972526517
Albania,4.732,3.694,3.703,5.224,5.551,5.389,5.044,2.832,3.759,5.2019,7.5684,4.1921,4.7259,6.96,4.725,5.896,7.784,4.526,8.553,5.206,5.3133,8.937,6.974,9.006
Algeria,25.411,26.624,27.647,29.568,31.247,33.909,35.224,37.194,40.233,38.498,45.7321,51.2191,57.391,59.887,64.275,68.839,71.0398,76.0664,76.7458,81.617,79.3611,85.6009,91.4721084,97.20130689
American Samoa,0.169,0.171,0.179,0.188,0.188,0.189,0.189,0.185,0.188,0.178,0.159,0.155,0.1559,0.156,0.155,0.161,0.17,0.167,0.168,0.169,0.171,0.172,0.17130115,0.171671722
Angola,1.445,1.638,1.765,1.995,2.243,2.637,2.983,3.24,4.051,4.914,5.459,5.66,7.724,8.156,9.554,9.776,10.9713,10.8052,13.146,15.8205,16.8113,16.856,17.307702,17.93857536
Antarctica,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.0005,0.0005,0.0005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.15,0.171,0.191,0.211,0.221,0.243,0.258,0.2854,0.296,0.3274,0.3297,0.3295,0.3305,0.3306,0.3366,0.3454,0.349,0.3501,0.359,0.3583,0.3464,0.3533,0.358453,0.36104436
Argentina,88.686,89.483,84.081,91.294,99.6241,104.8961,113.0141,111.8391,120.3321,120.3141,125.4436,128.9855,135.411,139.2982,138.4554,145.017,146.739,145.4151,146.4256,138.617,142.4227,151.4919,144.0757803,130.3316536
Armenia,5.78,5.735,5.31,5.303,5.796,6.088,5.706,5.6738,5.901,5.447,6.262,7.214,7.826,7.496,7.531,7.559,7.106,7.534,7.5898,7.4873,7.635,7.7307,9.881126,8.648
