Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,10.928894,7.564854,7.423396,1.8167474,0.423198,-2.688554,2.639475,4.18271,2.069222,7.927011,2.292856,3.631552,8.167315,15.429357,15.939648,21.811395,10.291699,-5.533599,-4.747246,-9.617682,-1.27169,4.898992,-3.879237875,-6.557592668
Afghanistan,0.095,0.095,0.1,0.1,0.1,0.105,0.432,0.609,0.752,1.155,1.867,2.732,3.071,3.6152,3.7108,3.7789,4.3325,4.6113,4.986,4.912,5.1519,5.7,5.880806755,6.221357177
Albania,1.078,1.731,2.142,0.916,0.477,0.371,0.611,2.838,2.434,1.478,-1.93,3.475,3.23,2.323,3.067,1.399,1.785,2.9146,-0.9135,2.406,2.276,-0.548,0.921,-0.278
Algeria,-0.069,-0.046,-0.022,0.011,0.014,0.084,0.082,0.006,-0.049,-0.032,-0.067,-0.142,-0.049,-0.089,-0.191,-0.031,-0.25,-0.343,-0.091,-0.142,-0.0614,-1.15,-2.572,-2.2772
Argentina,1.222,1.755,5.92,5.035,3.468,3.877,2.358,7.599,5.483,6.156,8.6,9.668,7.612,8.058,9.862,8.963,9.522,10.462,9.562,10.687,4.713,2.498,12.878,11.36223529
Armenia,-0.463,-0.371,-0.354,-0.276,-0.752,-0.78,-0.3091,0.0957,-0.024,-0.041,-0.778,-1.328,-1.598,-1.165,-1.108,-1.25,-0.954,-1.121,-1.423,-0.958,-1.013,-0.627,-1.447,-1.105955231
Austria,-1.368,0.215,0.699,5.613,3.081,2.623,6.345,6.016,4.862,0.78,2.4366,8.1993,2.803,7.2705,9.2747,10.0616,7.1593,6.5459,8.9468,3.1285,2.1958,7.5432,8.7132212,-0.0807643
Azerbaijan,0.494,0.676,1.45,1.565,1.365,1.202,0.887,-0.238,-0.596,-0.27,-0.362,-0.677,-0.539,-0.368,-0.365,-0.157,-0.982,-1.175,-1.3138,-1.354,-1.014,-1.521,-2.86,-3.034
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,-0.19,0.168,0.173,0.12,-0.155,0.017,0.003,-0.008,-0.017,0.043,0.205,0.082,-0.223,0.018,0.025,0.012985216
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265,3.38,3.822,4.656,4.783,6.786,6.674,8.103,7.712,9.406602795
Belarus,7.211,8.271,6.555,6.831,3.252,4.036,4.36,4.344,1.84,4.471,2.7,5.585,7.601,6.37,3.318,2.622,3.021,2.585,-0.991,-2.339,-0.5,-0.3,-0.7,-0.553327648
Belgium,4.326,9.106,7.588,6.41,7.777,6.304,10.157,6.779,10.597,-1.835,0.551,2.537,9.936,9.64,17.603,20.999,6.183,6.0216,17.3275,-1.8546,-0.3329,-7.8764,-7.5276467,0.3474681
Belize,0.0,0.159,0.181,0.189,0.236,0.254,0.21,0.225,0.248,0.216,0.16,0.171,0.238,0.234,0.233,0.255,0.243,0.23,0.235,0.3837,0.2703,0.2838,0.2838,0.2838
Benin,0.374,0.456,0.533,0.513,0.578,0.595,0.589,0.579,0.662,0.866,0.935,1.005,1.074,1.085,1.074,1.048,1.089,1.1113,1.2932,1.091,0.644,0.692,0.832,0.84288827
Bhutan,-1.378,-1.384,-1.537,-1.827,-1.603,-1.696,-2.491,-5.351,-5.913,-5.341,-5.448,-5.233,-4.837,-5.445,-4.988,-5.596,-5.676,-5.609,-4.447,-6.0502,-5.1817,0.8347,0.8347,0.8347
Bolivia,0.016,0.01,0.009,0.009,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,-1.064,-1.089,-1.114,-0.933,-1.945,-1.377,-2.108,-0.601,-1.645,-2.99,-3.829,-1.489,-0.044,-3.695,-2.836,-2.135,-3.757,-1.841,-4.606,-3.74,-4.051,-4.755,-3.028,-3.504209143
Botswana,0.968,1.123,1.242,1.606,1.915,1.898,2.05,2.394,2.585,2.749,2.985,3.139,3.272,2.819,1.684,1.468,1.673,1.219,0.713,1.015,2.045,1.66,1.796,1.92103855
Brazil,42.993,37.854,36.563,38.194,37.385,39.042,41.164,38.832,42.212,39.984,34.649,35.886,40.255,40.334,33.775,34.423,40.795,36.355,34.979,24.957,24.718,23.1029,12.908,15.108
Bulgaria,-4.62,-6.925,-6.295,-5.489,-5.879,-7.581,-7.743,-4.475,-5.344,-5.073,-8.446,-10.661,-8.308,-6.181,-9.455,-10.575,-6.372,-5.481,-7.807,-5.81,-3.4083,-8.778,-12.195,-3.333
Burkina Faso,0.0,0.0667,0.1105,0.0692,0.0962,0.1253,0.1393,0.124,0.1357,0.1446,0.4952,0.5149,0.5316,0.5316,0.4884,0.443,0.6297,0.6454,0.8374,1.082,1.426,1.524,1.492,1.57654375
Burma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.381,-1.393,-1.431,-1.274,-1.238,-1.317,-0.203,-0.2
Burundi,0.03,0.035,0.035,0.052,0.063,0.071,0.075,0.077,0.076,0.092,0.0994,0.1041,0.1043,0.103,0.091,0.096,0.128,0.0943,0.1002,0.1,0.089,0.101,0.101,0.1
Cambodia,0.0,0.002,0.007,0.013,0.018,0.029,0.054,0.103,0.276,0.725,1.547,1.826,2.105,2.279,1.803,1.547,1.582,1.4421,1.567,3.063,3.82,3.385,4.799,5.0955625
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.124,0.739,0.712,0.018,0.055,0.06,0.049,0.0533,0.0581,0.0,0.0,0.06
Canada,-35.8305,-22.296,-21.3054,-5.7401,-10.5254,-23.8514,-19.112,-30.9506,-32.1576,-33.6181,-25.018,-36.6775,-46.7548,-51.884,-45.6129,-59.5292,-63.8002,-62.2374,-48.2043,-47.0779,-57.6375,-47.2883,-51.10871413,-27.6740404
Chile,1.19,1.386,1.813,1.95,1.903,2.152,2.285,1.6277,1.154,1.348,0.958,0.732,0.0,0.0,0.0,0.0,-0.002,-0.039,0.0,0.0,0.0,0.0,0.0,0.0
China,-8.754,-8.6,-8.404,-7.364,-6.076,-6.183,-6.882,-10.315,-12.802,-11.38,-13.514,-12.745,-10.779,-11.231,-11.408,-12.444,-12.722,-13.047,-15.218,-16.797,-17.042,-14.238,-12.95,-13.38147726
Colombia,0.04,-0.17,-0.61,-1.113,-1.634,-1.742,-1.792,-0.8373,-1.396,-1.056,-0.788,-1.535,-0.7085,-1.348,-0.802,-0.415,0.333,0.069,0.1059,0.3118,1.0506,0.115,0.4308237,-0.8856835
Congo-Brazzaville,0.262,0.297,0.364,0.359,0.404,0.418,0.411,0.449,0.436,0.44,0.281,0.027,0.025,0.037,-0.004,-0.02,-0.001,0.0,0.002,-0.021,0.002,-0.004,-0.00321036,-0.000411755
Congo-Kinshasa,-1.273,-1.19,-1.314,-1.328,-1.394,-1.664,-1.309,-1.326,-0.591,-0.782,-0.755,-0.127,0.578,0.578,1.069,1.059,0.713,0.727,0.729,0.921,1.139,1.414,1.325,1.4108125
Costa Rica,-0.475,-0.251,-0.419,-0.079,-0.238,0.011,0.0889,0.1636,-0.07,0.017,0.029,-0.037,0.017,0.047,0.204,-0.1064,0.176,-0.202,-0.242,0.017,-0.506,-1.0027,-0.7197484,-0.72
Cote d'Ivoire,-1.238,-1.156,-1.565,-1.327,-1.409,-1.398,-1.065,-0.772,-0.599,-0.484,-0.346,-0.593,-0.591,-0.82,-0.877,-0.849,-1.21,-1.858,-1.054,-1.085,-1.124,-0.548,-0.757,-0.74821041
Croatia,3.421,2.522,3.035,3.311,2.996,4.409,5.005,5.897,6.012,5.003,3.968,7.155,7.431,3.869,3.953,6.789,5.531,6.9539,5.3874,6.1328,4.639,3.9607,4.694,1.577
Czechia,-10.017,-9.539,-11.387,-16.213,-15.717,-12.634,-12.631,-16.153,-11.469,-13.644,-14.948,-17.044,-17.12,-16.887,-16.3,-12.515,-10.974,-13.0369,-13.9071,-13.0966,-10.1528,-11.0752,-13.5288362,-9.1835735
Denmark,0.665,-0.575,-2.071,-8.545,-2.872,1.369,-6.935,-0.95,1.455,0.334,-1.135,1.32,5.214,1.082,2.855,5.9115,5.0571,4.5627,5.2243,5.8109,6.8826,4.8688,1.4054403,3.1332637
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.3143,0.4495,0.5082,0.526,0.514,0.502,0.512,0.512,0.512
Ecuador,0.02,0.022,0.056,1.053,1.607,1.707,1.5688,0.8225,0.462,1.099,0.863,1.281,0.226,0.633,0.79,0.466,-0.32,-0.193,-0.1499,-1.8212,-1.0902,-0.1602,0.274,0.274
Egypt,-0.147,-0.206,-0.78,-0.918,-0.699,-0.778,-0.349,-0.563,-0.896,-0.935,-1.443,-1.577,-0.397,-0.399,-0.679,-0.693,-0.268,-0.344,-0.571,-0.79,-1.421,-1.467,-1.565,-1.597781061
