Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,377.7764725,383.9152627,386.503675,405.039159,425.0001959,439.6279598,452.1388933,460.7495063,473.1934115,470.2220857,494.1282957,508.3068777,519.7314303,526.0251022,534.5145672,539.4446038,533.7750493,545.9383551,567.248242,578.5293917,554.2662633,571.5536487,585.6955542,592.2986908
Afghanistan,0.009588586,0.004062587,0.004158118,0.003581877,0.003340295,0.003405806,0.003605761,0.008840807,0.010566055,0.013653566,0.022611202,0.032332142,0.042946079,0.045661461,0.056153755,0.050480548,0.055639351,0.051115331,0.066110732,0.069662258,0.042067211,0.057138269,0.09625567,0.018028598
Albania,0.030094566,0.026251751,0.029462973,0.032914823,0.036263415,0.035784082,0.039130989,0.033215366,0.037542361,0.041923823,0.056184212,0.051321746,0.058327167,0.072829826,0.072637558,0.074509096,0.072122553,0.056758363,0.068433216,0.063071622,0.061112869,0.071856058,0.06644295,0.072141244
Algeria,6.122347353,6.086820063,6.334404717,6.791966347,6.92211231,7.41908001,7.316711094,7.074303091,7.176599287,6.942845413,6.926746101,6.825358598,6.995648903,6.508413554,6.56021931,6.694887107,6.908778514,6.826684773,6.750725488,6.470125328,5.969425445,6.731876772,6.724577553,6.818076457
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07093e-06,6.82428e-06,6.82428e-06,6.82428e-06,1.02364e-05,1.70607e-05,1.70607e-05,1.70607e-05,1.70607e-05,1.70607e-05,1.72216e-05,1.70607e-05
Angola,1.614139648,1.595692245,1.934171775,1.898227074,2.144863846,2.678418101,3.0016094,3.617584467,4.21200484,4.044207927,4.114809071,3.791253863,3.873869414,3.903190097,3.771990385,3.920913502,3.902734923,3.847786148,3.726687515,3.425555927,3.032933779,2.687827976,2.751807711,2.749638552
Antarctica,0.0,0.0,0.0,0.0,0.0,6.82428e-06,6.82428e-06,6.82428e-06,6.82428e-06,1.36486e-05,1.36486e-05,1.36486e-05,1.70607e-06,1.70607e-06,1.70607e-06,3.41214e-06,3.41214e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82e-07,1.70607e-06,1.70607e-06,2.04728e-06,2.04728e-06,1.84256e-05,1.70607e-05,2.08141e-05,3.41214e-05,4.43578e-05,5.45943e-05,6.65368e-05,7.84793e-05,7.84793e-05
Argentina,3.403872663,3.518869002,3.411307576,3.5508442,3.617789386,3.54101198,3.58008605,3.473025251,3.469919992,3.333957261,3.279829438,3.127549583,3.036468288,2.933509109,2.928924455,2.957384656,3.063121138,3.054147142,3.132990184,3.248359962,3.032612906,3.143473795,3.426948518,3.441672908
Armenia,0.025833248,0.026567374,0.030105592,0.028035008,0.032603914,0.035352339,0.034568281,0.033797202,0.032646977,0.033685884,0.035472791,0.036054726,0.032763096,0.03277402,0.033312345,0.03760858,0.033687733,0.035950879,0.030156811,0.03201871,0.036464737,0.030212427,0.042353418,0.037712698
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102364,0.000362028,0.000387278,0.000464051,0.000522058,0.000542531,0.000597125,0.000538052,0.000490325,0.000528882,0.000552767,0.000552767,0.000552767,0.000552767,0.000552767
Australia,9.543591123,9.983990708,10.22960082,9.984287772,10.05153865,10.65138281,10.72515103,11.26165994,11.36339461,11.72764847,13.10109996,12.61964771,12.98430337,13.99074265,14.87985209,15.47853642,15.89676994,16.65829171,17.16054455,18.66558396,18.403914,17.67769966,17.82421635,17.19305517
Austria,0.283121529,0.279952726,0.286842896,0.267462716,0.267678355,0.260793673,0.281942628,0.301481412,0.294557987,0.30808127,0.300997214,0.287562717,0.321737709,0.298955812,0.298965057,0.28979149,0.293236526,0.29304881,0.278475513,0.293266216,0.285895144,0.280121844,0.264937676,0.27051681
Azerbaijan,0.82119065,0.861615173,0.856207809,0.863913498,0.86284729,1.186373663,1.654013498,2.235535762,2.446880884,2.73525783,2.811961688,2.687817736,2.586270642,2.493311542,2.471065964,2.494466798,2.449371121,2.328746018,2.366846184,2.508381158,2.410460655,2.692704876,2.703170964,2.655855503
