Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,24265.69643,24477.7907,25021.13358,26165.24474,27610.05873,28700.9667,29648.2773,30093.29752,30804.70388,30627.97294,32530.8985,33637.79691,34423.23984,34851.81021,34901.97425,34836.31329,34647.49215,35055.48095,35663.17472,35933.76719,33927.61093,35495.71408,36229.09799,37079.18124
Afghanistan,1.15314859,0.848627166,0.838908091,0.707268691,0.705324879,0.80338105,0.707268691,0.886020545,1.1258796,5.835371984,7.350372553,9.444349994,8.824399339,6.946117844,5.550387121,6.493659084,5.823184544,5.639362838,6.818422849,9.429672199,9.366235986,9.936315561,9.302426307,7.756799675
Albania,3.264883293,3.579187341,3.750333192,4.25058022,4.345900091,4.637862111,4.612172485,3.173024237,4.525973878,3.02339894,3.673558222,3.756730087,3.393630544,3.857129766,4.043419507,3.913785734,4.111770605,4.525289645,4.151224673,3.989091603,3.309498526,4.002473171,4.294648618,3.392413045
Algeria,70.05952682,70.8334408,72.17892128,72.47891745,71.87850939,82.85727868,86.02878481,87.28944471,56.22255541,99.38018585,101.3528967,112.4887512,122.0168377,118.7205639,131.6959385,138.6641266,137.1713606,138.2245269,146.7121723,150.8169018,141.6324456,152.1258392,158.5131599,163.6607155
American Samoa,0.550420816,0.550420816,0.559929816,0.559929816,0.559929816,0.59155027,0.601936254,0.601936254,0.603585394,0.601936254,0.601936254,0.35542766,0.356401475,0.35542766,0.35542766,0.35542766,0.355427692,0.35542766,0.35542766,0.356,0.34,0.386,0.39,0.389
Angola,5.418203145,7.339732749,7.81629114,8.275143938,8.571319928,8.475143938,9.433996735,10.42826072,10.83399674,12.35361433,16.43470477,17.29977445,18.37975953,20.11390904,21.74356254,22.91092341,21.7829707,19.15066914,18.23030484,19.30465918,14.50250396,16.91683806,19.31792005,19.65987896
Antarctica,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352207,0.014382064,0.01434261,0.014342885,0.014228501,0.01422098,0.013782287,0.013782287,0.014,0.012,0.012,0.012,0.015425979
Antigua and Barbuda,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,0.7296106,0.7042989,0.7332989,0.7346106,0.72461072
Argentina,139.3497445,129.2652753,121.2170732,135.4419633,143.4961286,154.6341466,158.8228569,161.2872069,173.2708255,170.0630547,189.1853647,192.9902017,198.0397558,199.8320269,200.4686612,217.3394812,216.5278086,197.8170989,192.5056277,198.8919017,171.9987958,197.1425138,199.640597,198.1412793
Armenia,8.372155215,8.551151861,8.242803401,8.796330443,9.013094019,10.23672109,10.23778008,11.15540358,11.09244586,10.04161989,4.813019398,5.238929565,5.991110422,5.808716504,5.983706514,5.026330456,5.388280856,5.764256766,5.976457104,6.202729045,6.63348012,7.102882828,7.591282788,7.144050189
Aruba,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.024105112,1.1,1.0,1.1,0.991091715,1.259022487,1.19798201,1.213408516,1.221647,1.201636,1.251577,1.20493081,1.114,1.089,1.155,1.181,1.163000332
Australia,339.3999718,343.2268027,353.2742148,351.7295057,364.0751259,369.9340695,375.2966645,385.3010343,384.5457555,396.1251683,391.7287521,389.5528975,393.2349426,385.1842249,376.4529363,382.0123254,393.8927466,396.0443552,402.4432518,408.6662633,376.4290731,383.8087119,400.0667718,394.6532801
Austria,60.99892469,65.58858786,65.91040506,71.55348757,72.6766561,76.76717589,73.93613498,70.96233754,70.44420042,64.05651925,69.59045855,66.2611232,64.11566841,64.4367596,61.13678546,63.18649444,63.75089351,66.33364458,63.76994963,65.36085777,57.76380555,60.72090054,58.06948639,56.95917683
Azerbaijan,31.11468147,31.18865281,34.48132967,33.84942177,36.38010657,37.23831437,40.05852112,31.14846486,34.52630736,29.16180596,30.97807962,30.13964086,33.21612913,31.49000261,32.52552601,34.22000341,33.76820883,33.5050862,33.28563789,35.15163246,33.83859139,37.97230431,40.7943617,38.89162548
Bahrain,20.31228238,20.75966315,21.85824869,22.47213028,23.12715906,25.31044857,27.82673971,28.54626482,30.54544041,30.8827636,31.35167397,32.8853206,34.99192671,38.72092149,38.51188851,38.81548751,39.16256816,38.93443363,39.0144425,42.53999347,41.24472487,43.15553951,45.83950509,47.81839101
Bangladesh,29.86459791,32.90511467,35.49830009,38.33162411,40.51187588,42.75261806,46.89940912,47.92891948,53.27054365,57.68528361,56.10795783,59.72643141,64.23956997,65.86859857,70.71818566,77.82921195,82.82857249,86.12950492,87.62856315,101.6961844,98.29251044,110.1267513,113.0622149,125.9555776
Barbados,1.674374634,1.662776317,1.656891037,1.656891037,1.158852797,1.551695148,1.45270089,1.409851156,1.43339064,1.532032888,1.431680878,1.926933182,1.810688761,1.852327062,1.609840058,1.711547679,1.73882031,1.593600591,1.729449149,1.7311958,1.357206138,1.2926431,1.344695697,1.347940553
Belarus,59.29046609,53.85218374,50.70695177,55.73532109,54.74894077,64.14220725,66.31182698,59.5477521,66.69679601,60.85408891,64.13182001,66.50656537,65.14147821,62.11502669,62.45465237,53.1364452,52.89864049,52.91482469,56.03636373,53.34275785,50.44267895,51.00251805,49.73953627,46.70899337
Belgium,139.2517359,138.8151146,136.1858024,142.2427663,142.5928575,139.5157494,138.7023908,139.3142961,143.3961872,127.1178968,136.8321837,124.5190511,120.6838256,122.6517454,113.9015634,119.893288,121.327902,124.0826927,132.6410633,128.7554952,113.953592,122.4622343,116.672759,112.0834469
Belize,0.7,0.9,0.8,0.8,0.9,1.0,1.0,1.073313812,1.0,0.5,0.5,0.423049876,0.476432412,0.516362349,0.505700203,0.597846,0.591488,0.676589459,0.577712955,0.779278,0.6101533,0.6601845,0.6722468,0.662250031
Benin,1.7,1.7,1.7,2.1,2.4,2.5,3.0,3.303225783,3.403617675,4.500232667,5.100114705,4.722990331,4.372044823,4.538610429,4.840767399,5.375044116,6.500200025,6.980116384,7.736424191,7.152376549,7.551655536,5.569606063,5.538606739,5.948411318
Bermuda,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.768531146,0.8,0.7,0.7,0.527135539,0.559253927,0.580391832,0.747555419,0.638996,0.813297,0.775416033,0.797279806,0.6550833,0.4880709,0.5750722,0.586248683,0.577092569
Bhutan,0.217286214,0.220313797,0.330248803,0.321628372,0.344729434,0.364410679,0.367068536,0.338869663,0.366884005,0.458871633,0.492486226,0.540145378,0.583256167,0.610481699,0.589683437,0.625257036,0.739273044,0.874226128,0.967306365,0.931043187,0.736287995,0.793151282,1.180712709,0.732751421
Bolivia,8.767200111,7.705578224,8.897322846,11.18600892,11.39020046,11.2314096,12.49924128,11.08751308,13.72146363,12.74127149,13.32587566,13.24776444,15.48472019,15.80603242,16.1814403,15.93731657,17.25413277,18.09213779,18.36682507,19.59616076,16.07287478,19.3937267,21.22638583,21.55196612
Bosnia and Herzegovina,14.59038311,14.42719838,15.01614571,13.48744115,12.47860196,11.00687131,11.12803019,11.33661238,12.58624072,15.18080673,16.29191105,18.01481034,17.55058188,16.56203896,16.73013159,16.97437988,17.54152387,18.42998613,17.26693809,16.05212102,16.05529426,17.98567883,26.37035395,24.51282705
Botswana,3.861523501,3.511330594,3.489899564,3.290869915,3.749805131,4.061087521,4.238218136,4.07774137,3.940151317,4.180684536,4.219064426,4.385739465,4.186221336,4.327005721,4.670282678,6.004342771,6.78770549,6.264534639,6.188921367,5.945084822,5.445114206,5.910720913,7.750202367,5.897438653
Brazil,326.6324561,331.635045,328.2570546,322.7108284,337.9885328,342.0014652,349.2826691,362.9834626,383.6292811,355.5356772,409.6489669,431.1746552,462.028577,491.3201116,509.8223744,500.4373785,466.8026686,475.5288953,453.4432722,405.7818018,388.5883276,438.9880602,436.1937601,437.7691776
British Virgin Islands,0.06038,0.06038,0.06039,0.0699,0.08895,0.09531,0.1,0.11115615,0.1,0.1,0.2,0.17865226,0.177708728,0.177212161,0.179863623,0.183908,0.186382,0.174258053,0.216635316,0.188,0.184,0.188,0.19,0.188
Brunei,3.757935894,4.24837587,4.87613904,5.193844634,5.823519808,6.610135774,9.827422017,10.18608644,10.53382588,7.240768203,8.211112966,8.481891847,8.241776193,7.701370983,8.587174605,9.287691078,9.744023642,9.83366762,10.22519768,10.31715348,11.82181212,11.2511792,10.88923223,10.82253434
Bulgaria,45.00045913,44.48591025,43.35275129,45.90707498,45.91875579,46.11988933,47.05003179,45.63965199,47.77931738,42.3017047,42.03423825,48.14907647,44.46320148,39.92323961,42.66332011,44.94889768,41.72941542,44.12471986,41.54275969,40.28964956,35.17719275,40.65454419,44.32627492,33.46518639
Burkina Faso,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.347805637,1.4,1.7,1.7,2.120689116,2.453215462,3.050219119,2.860502377,3.711134,3.423904314,4.006278646,4.391342618,4.537,4.451,5.121,5.097,5.243006902
Burma,9.145327951,8.891136346,10.17512586,10.96613883,12.07131283,15.4819503,13.96258374,14.28872213,13.97931042,11.3778722,11.05407974,10.82088106,13.92970753,16.59625123,20.99365863,24.8597123,22.79858915,31.01293669,31.8226503,32.51010974,32.96407136,31.40205071,27.60877603,27.00536287
Burundi,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.209395776,0.4,0.2,0.2,0.264970514,0.233810047,0.283664742,0.239258433,0.390188,0.4312382,0.52089837,0.67983302,0.678,0.741,0.755,0.780824581,0.838375423
Cabo Verde,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.360745456,0.3,0.4,0.4,1.003405603,0.844979104,0.840027485,0.909728098,0.905513,0.951232,0.997356969,1.001529634,0.852,0.634,0.662,0.689,0.714000007
Cambodia,2.200538997,2.500127286,2.700053036,3.000066661,3.400001234,3.60042594,3.900850645,4.137174501,4.477818794,4.309785587,5.267972787,5.391141647,5.666872056,5.675875513,5.948184081,7.048856393,9.288531015,9.877082077,11.89089595,13.87727449,13.83903802,14.60646019,14.1288271,18.77859185
