country,year,value
World,2000,75621.9029
Albania,2000,5.716
Algeria,2000,1435.587432
Angola,2000,745.3879781
Argentina,2000,862.8231038
Australia,2000,802.4461475
Austria,2000,19.68142077
Azerbaijan,2000,282.2218169
Bahrain,2000,197.59
Bangladesh,2000,4.0
Barbados,2000,1.0
Belarus,2000,36.919
Bolivia,2000,38.83107104
Brazil,2000,1268.056689
Brunei,2000,195.0
Bulgaria,2000,0.5
Burma,2000,12.0
Cameroon,2000,113.7763798
Canada,2000,2721.541634
Chile,2000,9.035215847
China,2000,3260.871844
Colombia,2000,688.1857923
Congo-Brazzaville,2000,265.1809262
Congo-Kinshasa,2000,23.0
Coted'Ivoire,2000,7.0
Croatia,2000,28.2893388
Cuba,2000,51.131
Czechia,2000,7.537986339
Denmark,2000,363.0328716
Ecuador,2000,404.1540683
Egypt,2000,711.2113525
EquatorialGuinea,2000,117.6038251
Estonia,2000,4.685806011
France,2000,43.58504098
Gabon,2000,275.5955027
Georgia,2000,2.188
Germany,2000,85.82327049
Ghana,2000,7.0
Greece,2000,5.915300546
Guatemala,2000,21.0
Hungary,2000,38.87650273
India,2000,769.9690492
Indonesia,2000,1447.447
Iran,2000,3759.699454
Iraq,2000,2582.026216
Italy,2000,77.97545628
Japan,2000,17.47213115
Kazakhstan,2000,717.7861612
Kuwait,2000,1879.590164
Kyrgyzstan,2000,1.5
Libya,2000,1471.29235
Malaysia,2000,711.2865246
Mexico,2000,3452.022484
Mongolia,2000,0.18
Morocco,2000,0.279
Netherlands,2000,48.51147541
NewZealand,2000,44.57377049
Nigeria,2000,2160.106557
Norway,2000,3330.786281
Oman,2000,957.9021858
Pakistan,2000,57.581
PapuaNewGuinea,2000,64.0
Peru,2000,104.0065082
Philippines,2000,0.938961749
Poland,2000,14.53281421
Qatar,2000,860.147541
Romania,2000,131.2336175
Russia,2000,6526.82909
SaudiArabia,2000,9068.011066
Slovakia,2000,1.169628415
SouthAfrica,2000,199.0
SouthKorea,2000,13.00002186
Spain,2000,4.666666667
Sudan,2000,176.6754098
Suriname,2000,10.0
Syria,2000,572.519
Taiwan,2000,1.0
Tajikistan,2000,0.4
Thailand,2000,194.0845929
TrinidadandTobago,2000,138.0474481
Tunisia,2000,78.0
Turkmenistan,2000,158.1885246
