country,year,value
World,2000,2451.39634
Argentina,2000,5.985
Armenia,2000,1.84
Belarus,2000,0.0
Belgium,2000,45.749
Brazil,2000,4.94
Bulgaria,2000,17.269
Canada,2000,69.159
China,2000,15.903
Czechia,2000,12.911
Finland,2000,21.355
France,2000,394.404
Germany,2000,161.126
Hungary,2000,13.471
India,2000,14.06
Iran,2000,0.0
Japan,2000,305.947
Lithuania,2000,7.998
Mexico,2000,7.81
Netherlands,2000,3.73
Pakistan,2000,0.38
Romania,2000,5.225
Russia,2000,122.455
Slovakia,2000,15.669
Slovenia,2000,4.549
South Africa,2000,13.01
South Korea,2000,103.5156
Spain,2000,59.096
Sweden,2000,54.45
Switzerland,2000,25.124
Taiwan,2000,38.5028
Ukraine,2000,71.06
United Arab Emirates,2000,0.0
United Kingdom,2000,80.81
United States,2000,753.89294
World,2001,2518.278708
Argentina,2001,6.541
Armenia,2001,1.987
Belarus,2001,0.0
Belgium,2001,44.032
Brazil,2001,14.268
Bulgaria,2001,18.238
Canada,2001,72.858
China,2001,16.597
Czechia,2001,14.012
Finland,2001,21.634
France,2001,400.018
Germany,2001,162.74
Hungary,2001,13.42
India,2001,18.235
Iran,2001,0.0
Japan,2001,303.865
Lithuania,2001,10.794
Mexico,2001,8.29
Netherlands,2001,3.777
Pakistan,2001,1.981
Romania,2001,5.037
Russia,2001,125.36
Slovakia,2001,16.248
Slovenia,2001,5.036
South Africa,2001,10.719
South Korea,2001,106.526
Spain,2001,60.523
Sweden,2001,68.504
Switzerland,2001,25.47
Taiwan,2001,35.4864
Ukraine,2001,71.667
United Arab Emirates,2001,0.0
United Kingdom,2001,85.589
United States,2001,768.826308
World,2002,2547.166987
Argentina,2002,5.39
Armenia,2002,2.09
Belarus,2002,0.0
Belgium,2002,44.992
Brazil,2002,13.84
Bulgaria,2002,20.22
Canada,2002,71.75
China,2002,25.166
Czechia,2002,17.801
Finland,2002,21.18
France,2002,414.922
Germany,2002,156.6
Hungary,2002,13.255
India,2002,17.76
Iran,2002,0.0
Japan,2002,280.339
Lithuania,2002,13.435
Mexico,2002,9.26
Netherlands,2002,3.719
Pakistan,2002,1.8
Romania,2002,5.11
Russia,2002,134.14
Slovakia,2002,17.055
Slovenia,2002,5.31
South Africa,2002,11.99
South Korea,2002,113.148
Spain,2002,59.865
Sweden,2002,64.705
Switzerland,2002,25.872
Taiwan,2002,39.5529
Ukraine,2002,73.38
United Arab Emirates,2002,0.0
United Kingdom,2002,83.456
United States,2002,780.064087
World,2003,2519.268295
Argentina,2003,7.03
Armenia,2003,1.82
Belarus,2003,0.0
Belgium,2003,45.011
Brazil,2003,13.4
Bulgaria,2003,16.04
Canada,2003,71.147
China,2003,41.661
Czechia,2003,24.577
Finland,2003,21.594
France,2003,419.017
Germany,2003,156.807
Hungary,2003,10.46
India,2003,16.37
Iran,2003,0.0
Japan,2003,228.012
Lithuania,2003,14.71
Mexico,2003,9.975
Netherlands,2003,3.819
Pakistan,2003,1.81
Romania,2003,4.54
