country,year,value
World,2000,22977.04081
Algeria,2000,2213.5442
Angola,2000,0.0
Argentina,2000,148.323
Australia,2000,362.04938
Austria,2000,0.63567
Azerbaijan,2000,0.0
Belgium,2000,0.0
Bolivia,2000,72.7489
Brazil,2000,0.0
Brunei,2000,310.41885
Bulgaria,2000,0.0
Burma,2000,54.73825
Cameroon,2000,0.0
Canada,2000,3575.50249
Chile,2000,0.0
China,2000,95.27987
Colombia,2000,0.0
Croatia,2000,0.0
Czechia,2000,0.035315
Denmark,2000,107.3576
Dominican Republic,2000,0.0
Egypt,2000,0.0
Equatorial Guinea,2000,0.0
Estonia,2000,0.0
Finland,2000,0.0
France,2000,27.086605
Germany,2000,189.606235
Greece,2000,0.0
Hungary,2000,2.8252
India,2000,0.0
Indonesia,2000,1279.1093
Iran,2000,0.0
Israel,2000,0.0
Italy,2000,1.76575
Japan,2000,0.0
Jordan,2000,0.0
Kazakhstan,2000,120.071
Libya,2000,28.252
Lithuania,2000,0.0
Malaysia,2000,780.10835
Mexico,2000,8.61686
Mozambique,2000,0.0
Netherlands,2000,1461.82911
Nigeria,2000,202.35495
Norway,2000,1727.25665
Oman,2000,100.2946
Papua New Guinea,2000,0.0
Peru,2000,0.0
Poland,2000,1.447915
Puerto Rico,2000,0.0
Qatar,2000,495.8226
Romania,2000,0.0
Russia,2000,6590.4853
Singapore,2000,0.0
Slovakia,2000,0.0
South Korea,2000,0.0
Spain,2000,0.0
Sweden,2000,0.0
Taiwan,2000,0.0
Trinidad and Tobago,2000,139.1411
Turkiye,2000,0.0
Turkmenistan,2000,1380.8165
Ukraine,2000,0.0
United Arab Emirates,2000,245.43925
United Kingdom,2000,530.07815
United States,2000,243.71586
Uzbekistan,2000,480.284
Yemen,2000,0.0
World,2001,23948.05002
Algeria,2001,2065.2212
Angola,2001,0.0
Argentina,2001,209.0648
Australia,2001,344.10936
Austria,2001,14.514465
Azerbaijan,2001,0.0
Belgium,2001,0.0
Bolivia,2001,136.3159
Brazil,2001,0.0
Brunei,2001,317.835
Bulgaria,2001,0.0
Burma,2001,177.9876
Cameroon,2001,0.0
Canada,2001,3822.4956
Chile,2001,0.0
China,2001,96.1592135
Colombia,2001,0.0
Croatia,2001,0.0
Czechia,2001,0.0
Denmark,2001,119.117495
Dominican Republic,2001,0.0
Egypt,2001,0.0
Equatorial Guinea,2001,0.0
Estonia,2001,0.0
Finland,2001,0.0
France,2001,27.5457
Germany,2001,235.69231
Greece,2001,0.0
Hungary,2001,0.14126
India,2001,0.0
Indonesia,2001,1162.21665
Iran,2001,4.2378
Israel,2001,0.0
Italy,2001,2.18953
Japan,2001,0.0
Jordan,2001,0.0
Kazakhstan,2001,144.7915
Libya,2001,27.89885
Lithuania,2001,0.0
Malaysia,2001,791.056
Mexico,2001,9.075955
Mozambique,2001,0.0
Netherlands,2001,1749.08132
Nigeria,2001,306.88735
Norway,2001,1783.05435
Oman,2001,269.45345
Papua New Guinea,2001,0.0
Peru,2001,0.0
Poland,2001,1.447915
Puerto Rico,2001,0.0
Qatar,2001,584.1101
Romania,2001,0.0
Russia,2001,6316.4409
Singapore,2001,0.0
