country,year,value
World,2000,22752.99756
Argentina,2000,0.0
Armenia,2000,49.79415
Australia,2000,0.0
Austria,2000,219.58867
Azerbaijan,2000,0.0
Bahrain,2000,0.0
Bangladesh,2000,0.0
Barbados,2000,0.0
Belarus,2000,685.111
Belgium,2000,549.64266
Benin,2000,0.0
Bosnia and Herzegovina,2000,10.5945
Brazil,2000,75.92725
Bulgaria,2000,113.008
Burma,2000,0.0
Cameroon,2000,0.0
Canada,2000,57.457505
Chile,2000,143.73205
China,2000,0.0
Colombia,2000,0.0
Croatia,2000,39.19965
Czechia,2000,325.215835
Denmark,2000,0.0
Dominican Republic,2000,0.0
Egypt,2000,0.0
El Salvador,2000,0.0
Estonia,2000,39.5528
Finland,2000,148.640835
France,2000,1449.3276
Georgia,2000,40.61225
Germany,2000,2675.711605
Ghana,2000,0.0
Gibraltar,2000,0.0
Greece,2000,72.32512
Guyana,2000,0.0
Haiti,2000,0.0
Hong Kong,2000,95.27987
Hungary,2000,319.494805
India,2000,0.0
Indonesia,2000,0.0
Iran,2000,93.58475
Iraq,2000,0.0
Ireland,2000,99.835505
Israel,2000,0.0
Italy,2000,2028.740805
Jamaica,2000,0.0
Japan,2000,2677.618615
Jordan,2000,0.0
Kazakhstan,2000,296.646
Kuwait,2000,0.0
Kyrgyzstan,2000,67.0985
Latvia,2000,56.504
Lebanon,2000,0.0
Lithuania,2000,91.819
Luxembourg,2000,26.733455
Macau,2000,0.0
Malaysia,2000,0.0
Malta,2000,0.0
Mexico,2000,102.76665
Moldova,2000,75.22095
Morocco,2000,0.0
Netherlands,2000,614.728205
North Macedonia,2000,0.0
Norway,2000,0.0
Oman,2000,0.0
Pakistan,2000,0.0
Panama,2000,0.0
Philippines,2000,0.0
Poland,2000,285.945555
Portugal,2000,81.2245
Puerto Rico,2000,12.36025
Romania,2000,120.071
Russia,2000,314.3035
Singapore,2000,52.9725
Slovakia,2000,248.47634
Slovenia,2000,35.66815
South Africa,2000,0.0
South Korea,2000,670.949685
Spain,2000,598.02421
Sweden,2000,31.14783
Switzerland,2000,104.920865
Syria,2000,0.0
Taiwan,2000,211.1837
Tajikistan,2000,42.73115
Thailand,2000,46.96895
The Bahamas,2000,0.0
Togo,2000,0.0
Tunisia,2000,42.378
Turkiye,2000,507.8297
Ukraine,2000,2143.6205
United Arab Emirates,2000,0.0
United Kingdom,2000,77.693
United States,2000,3781.602987
Uruguay,2000,1.4126
Uzbekistan,2000,0.0
Venezuela,2000,0.0
World,2001,23387.61361
Argentina,2001,0.0
Armenia,2001,49.441
Australia,2001,0.0
Austria,2001,222.34324
Azerbaijan,2001,35.315
Bahrain,2001,0.0
Bangladesh,2001,0.0
Barbados,2001,0.0
Belarus,2001,628.607
Belgium,2001,543.674425
Benin,2001,0.0
Bosnia and Herzegovina,2001,10.5945
Brazil,2001,162.449
Bulgaria,2001,102.4135
Burma,2001,0.0
Cameroon,2001,0.0
Canada,2001,138.08165
Chile,2001,181.5191
China,2001,0.0
Colombia,2001,0.0
Croatia,2001,38.1402
Czechia,2001,336.234115
Denmark,2001,0.0
Dominican Republic,2001,0.0
Egypt,2001,0.0
El Salvador,2001,0.0
Estonia,2001,44.85005
Finland,2001,161.001085
France,2001,1430.9638
Georgia,2001,38.8465
Germany,2001,2780.27932
Ghana,2001,0.0
Gibraltar,2001,0.0
Greece,2001,71.26567
Guyana,2001,0.0
Haiti,2001,0.0
Hong Kong,2001,96.1592135
Hungary,2001,338.564905
India,2001,0.0
Indonesia,2001,0.0
Iran,2001,151.8545
Iraq,2001,0.0
Ireland,2001,119.50596
Israel,2001,0.0
Italy,2001,1934.379125
Jamaica,2001,0.0
Japan,2001,2690.614535
Jordan,2001,0.0
Kazakhstan,2001,293.1145
Kuwait,2001,0.0
Kyrgyzstan,2001,70.63
Latvia,2001,60.0355
Lebanon,2001,0.0
Lithuania,2001,97.4694
Luxembourg,2001,27.68696
Macau,2001,0.0
Malaysia,2001,0.0
Malta,2001,0.0
Mexico,2001,138.64669
Moldova,2001,72.39575
Morocco,2001,0.0
Netherlands,2001,755.070015
North Macedonia,2001,0.0
Norway,2001,0.0
Oman,2001,0.0
Pakistan,2001,0.0
Panama,2001,0.0
Philippines,2001,0.0
Poland,2001,310.13633
Portugal,2001,90.159195
Puerto Rico,2001,22.24845
Romania,2001,190.701
Russia,2001,0.0
Singapore,2001,41.6717
Slovakia,2001,247.27563
Slovenia,2001,36.7276
South Africa,2001,0.0
South Korea,2001,745.42902
Spain,2001,611.93832
Sweden,2001,34.18492
Switzerland,2001,109.229295
Syria,2001,0.0
Taiwan,2001,226.016
Tajikistan,2001,44.14375
Thailand,2001,177.9876
The Bahamas,2001,0.0
Togo,2001,0.0
Tunisia,2001,55.7977
Turkiye,2001,556.35251
Ukraine,2001,1974.1085
United Arab Emirates,2001,7.063
United Kingdom,2001,105.945
United States,2001,3976.939284
Uruguay,2001,1.4126
Uzbekistan,2001,0.0
Venezuela,2001,0.0
World,2002,25061.68423
Argentina,2002,0.0
Armenia,2002,38.49335
Australia,2002,0.0
Austria,2002,231.419195
Azerbaijan,2002,138.08165
Bahrain,2002,0.0
Bangladesh,2002,0.0
Barbados,2002,0.0
Belarus,2002,591.52625
Belgium,2002,565.145945
Benin,2002,0.0
Bosnia and Herzegovina,2002,5.6504
Brazil,2002,185.7569
Bulgaria,2002,114.0323101
Burma,2002,0.0
Cameroon,2002,0.0
Canada,2002,233.079
Chile,2002,184.944655
China,2002,0.0
Colombia,2002,0.0
Croatia,2002,38.1402
Czechia,2002,343.75621
Denmark,2002,0.0
Dominican Republic,2002,0.0
Egypt,2002,0.0
El Salvador,2002,0.0
Estonia,2002,26.239045
Finland,2002,160.012265
France,2002,1489.93985
Georgia,2002,47.3221
Germany,2002,2872.557415
Ghana,2002,0.0
Gibraltar,2002,0.0
Greece,2002,75.15032
Guyana,2002,0.0
Haiti,2002,0.0
Hong Kong,2002,91.39522
Hungary,2002,377.8705
India,2002,0.0
Indonesia,2002,0.0
Iran,2002,173.0435
Iraq,2002,0.0
Ireland,2002,122.61368
Israel,2002,0.0
Italy,2002,2093.861665
Jamaica,2002,0.0
Japan,2002,2720.17319
Jordan,2002,0.0
Kazakhstan,2002,289.583
Kuwait,2002,0.0
Kyrgyzstan,2002,42.378
Latvia,2002,60.0355
Lebanon,2002,0.0
Lithuania,2002,102.06035
Luxembourg,2002,42.625205
Macau,2002,0.0
Malaysia,2002,0.0
Malta,2002,0.0
Mexico,2002,266.098525
Moldova,2002,77.693
Morocco,2002,0.0
Netherlands,2002,944.88814
North Macedonia,2002,0.0
Norway,2002,0.0
Oman,2002,0.0
Pakistan,2002,0.0
Panama,2002,0.0
Philippines,2002,0.0
Poland,2002,289.65363
Portugal,2002,109.82965
Puerto Rico,2002,22.24845
Romania,2002,176.575
Russia,2002,77.693
Singapore,2002,41.31855
Slovakia,2002,256.210325
Slovenia,2002,35.350315
South Africa,2002,0.0
South Korea,2002,822.1332
Spain,2002,772.091845
Sweden,2002,34.82059
Switzerland,2002,107.21634
Syria,2002,0.0
Taiwan,2002,254.268
Tajikistan,2002,41.31855
Thailand,2002,218.953
The Bahamas,2002,0.0
Togo,2002,0.0
Tunisia,2002,59.68235
Turkiye,2002,604.23965
Ukraine,2002,2129.4945
United Arab Emirates,2002,7.063
United Kingdom,2002,180.1065
United States,2002,4015.462598
Uruguay,2002,0.7063
Uzbekistan,2002,0.0
Venezuela,2002,0.0
World,2003,26965.03412
Argentina,2003,0.0
Armenia,2003,46.6158
Australia,2003,2.295475
Austria,2003,284.28575
Azerbaijan,2003,143.73205
Bahrain,2003,0.0
Bangladesh,2003,0.0
Barbados,2003,0.0
Belarus,2003,628.607
Belgium,2003,589.583925
Benin,2003,0.0
Bosnia and Herzegovina,2003,5.6504
Brazil,2003,187.8758
Bulgaria,2003,110.8201324
Burma,2003,0.0
Cameroon,2003,0.0
Canada,2003,341.8492
Chile,2003,215.20961
China,2003,0.0
Colombia,2003,0.0
Croatia,2003,42.378
Czechia,2003,336.375375
Denmark,2003,0.0
Dominican Republic,2003,10.5945
Egypt,2003,0.0
El Salvador,2003,0.0
Estonia,2003,29.911805
Finland,2003,177.387245
France,2003,1481.1111
Georgia,2003,35.66815
Germany,2003,2965.25929
Ghana,2003,0.0
Gibraltar,2003,0.0
Greece,2003,85.39167
Guyana,2003,0.0
Haiti,2003,0.0
Hong Kong,2003,67.87543
Hungary,2003,429.99544
India,2003,0.0
Indonesia,2003,0.0
Iran,2003,173.7498
Iraq,2003,0.0
Ireland,2003,128.370025
Israel,2003,0.0
Italy,2003,2217.57011
Jamaica,2003,0.0
Japan,2003,2894.13488
Jordan,2003,12.36025
Kazakhstan,2003,307.2405
Kuwait,2003,0.0
Kyrgyzstan,2003,25.07365
Latvia,2003,63.567
Lebanon,2003,0.0
Lithuania,2003,107.00445
Luxembourg,2003,42.554575
Macau,2003,0.0
Malaysia,2003,0.0
Malta,2003,0.0
Mexico,2003,363.356035
Moldova,2003,84.0497
Morocco,2003,0.0
Netherlands,2003,899.578995
North Macedonia,2003,0.0
Norway,2003,0.0
Oman,2003,0.0
Pakistan,2003,0.0
Panama,2003,0.0
Philippines,2003,0.0
Poland,2003,324.898
Portugal,2003,106.86319
Puerto Rico,2003,26.1331
Romania,2003,201.2955
Russia,2003,486.6407
Singapore,2003,187.8758
Slovakia,2003,239.965425
Slovenia,2003,35.632835
South Africa,2003,0.0
South Korea,2003,896.22407
Spain,2003,818.495755
Sweden,2003,34.714645
Switzerland,2003,113.325835
Syria,2003,0.0
Taiwan,2003,264.1562
Tajikistan,2003,46.26265
Thailand,2003,250.38335
The Bahamas,2003,0.0
Togo,2003,0.0
