Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,75621.9029,75764.24188,75599.86189,79071.85108,83435.7404,84702.43382,85225.20444,85434.13524,86897.90228,85866.65193,87383.8577,88534.04754,90802.57714,91370.21513,93947.33452,96649.51677,97093.81223,97789.54441,100486.8787,100220.768,93897.7798,95660.70601,100203.586,102228.8739,102773.6401
Afghanistan,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,5.716,5.624,7.106,6,7.006,6.985,9.072,10.082,10.03453,10.05364,13.02293,16.04745,18.008905,21.006202,24.06236,23.0535,19.05189,17.05404,16.05469,18.05546,17.31385896,16.1506381,15.05992813,14.04472675,13.06911193
Algeria,1435.587432,1507.479452,1623.835616,1789.890411,1856.934792,1930.027384,1917.468014,1942.263521,1954.481,1909.823112,1880.8924,1862.5645,1875.039769,1762.789322,1721.8256,1798.1049,1698.432256,1632.869525,1576.786934,1570.104304,1404.306744,1415.129339,1473.030681,1444.291046,1380.786908
AmericanSamoa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,745.3879781,739.2849315,896.6363425,879.0602356,990.2883306,1247.492362,1400.536786,1687.44877,1960.226508,1886.364219,1918.072548,1765.134438,1796.58018,1814.168534,1755.945438,1828.000014,1796.777754,1708.354531,1637.116441,1488.932374,1284.13903,1150.417404,1185.254399,1174.422203,1164.048547
Antarctica,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AntiguaandBarbuda,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,862.8231038,918.6981753,895.3786329,889.2502027,891.057082,830.329611,831.1796301,802.6279151,804.5547268,786.124089,786.8620644,742.2983945,720.722118,704.9671288,713.0421055,705.2630425,705.0372634,686.3095116,704.8591449,723.059323,656.8417082,708.5545346,787.2274929,819.018804,891.9261208
Armenia,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,,,,,2.356,2.351,2.235,2.477,2.3643,2.4322,2.3885,2.3087,0.5505,0,0,0,0,0,0,0,0,0,0,0,0
