Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,38292.04,37834.404,37046.475,39272.271,42181.621,43044.94,42758.848,42961.73,42394.316,40613.107,41114.972,41822.211,41930.047,41167.84,40639.786,42275.206,45375.735,45690.86,46656.13,,
Afghanistan,0.006,0.082,2.024,3.966,0.597,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,,
Albania,0,0,0,0,0,0,1.139,2.73,3.273,6.112,9.005,12.603,17.305,21.102,19.113,17.847,15.998,8.816,10.532,,
Algeria,449.359,427.113,535.046,723.86,893.2,967.61,947.24,1085.003,942.283,835.547,804.54,844.35,760.19,666.68,580.739,598.1,695.007,656.203,633.519,,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angola,748.6,693.9,849.3,823,940.9,1113.971,1262.84,1591.176,1634.82,1770.41,1710.69,1585.429,1663.25,1677.064,1632.16,1745.524,1658.258,1517.708,1367.399,,
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Argentina,277.953,288.058,266.834,224.407,175.815,149.286,87.683,56.999,60.2,91.292,55.809,60.48,70.21,48.65,48.51,42.44,45.366,28.89,59.067,,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aruba,1.012,0.97,0.235,1.088,1.94,1.652,1.364,1.561,1.757,0.983,0.571,3.207,0.004,0,3.128,3.892,0,0,0,,
Australia,308.855,392.145,386.228,314.103,261.232,229.964,189.984,236.203,234.672,252.458,275.84,299.363,262.199,236.547,224.109,230.267,215.426,195.82,197.718,266.401,251.824
Austria,1.228,1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,112.76,169.24,177.62,179.94,180.96,285.92,496.4,695.6,737.16,886.64,853.18,745.36,694.56,692.083,697.4,674.611,716.011,684.248,679.86,,
Bahrain,1.406,1.469,0.682,1.636,150.405,150.536,148.468,147.986,149.043,152.203,151.098,150.114,133.162,142.985,154.492,149.673,0,0,0,,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Barbados,0.21,0.173,0.219,0.174,0.173,0.174,0.137,0.126,0.108,0.105,0.116,0.109,0.103,0.094,0.079,0.092,0.683,0.685,0.685,,
Belarus,7.03,8.053,12.069,16.086,21.049,27.031,22.854,17.09,29.1,34.461,32.439,33.658,32.945,32.513,32.473,32.433,31.686,31.851,32.224,,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,2.261,2.895,3.455,3.865,4.151,3.863,2.644,2.025,1.781,1.225,1.208,1.211,1.211,,
Benin,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bolivia,1.555,2.53,1.827,2.671,4.827,4.358,4.097,2.791,4.767,4.328,7.132,7.079,10.277,7.089,9.097,4.4,0,0,0,,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Botswana,0,0,0,0,0.001,0.001,0.001,0,0.003,0.001,0.001,0.001,0.001,0,0.003,0.01,0,0,0,,
Brazil,18.687,110.821,235.075,241.881,245.575,274.522,368.057,421.492,433.271,525.896,631.785,604.8,533.609,397.322,519.15,737.083,844.925,996.569,1123.314,,
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Brunei,182.615,181.469,191.504,196.008,188.105,198.1,198.22,171.414,164.134,142.054,147.645,135.539,139.158,117.078,107.828,115.892,116.824,111.173,103.08,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Burma,1.843,3.314,5.563,0.623,3.589,3.279,2.239,2.846,1.491,1.888,1.29,0.937,2.838,2.899,2.94,1.906,2.787,4.852,4.697,,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cameroon,112.93,107.696,101.651,97.918,91.814,82.115,88.989,77.552,75.577,63.942,55.724,53.295,56.198,65.147,75.814,96.436,83.112,68.575,62.16,,
Canada,1179.705,1147.782,1153.96,1231.557,1355.474,1501.36,1588.225,1486.095,1553.273,1514.727,1590.305,1807.972,1932.656,2217.603,2381.843,2487.123,2907.293,2921.65,3176.975,3194.766,3016.996
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chad,0,0,0.002,1.432,97.921,101.476,110.828,106.465,109.565,101.958,92.394,98.335,69.157,79.195,67.803,115.68,115.683,102,116,,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041
China,206.402,151.621,153.93,163.328,109.99,162.003,127.261,77.999,84.876,101.877,60.849,50.487,48.706,32.473,12.049,57.556,58.651,97.214,52.532,,
Colombia,393.987,303.609,293.932,237.001,222.572,237.309,229.215,239.038,309.3,408.67,537.569,678.17,705.417,817.28,842.038,849.78,624.699,533.059,481.317,,
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Congo-Brazzaville,249.395,225.391,218.836,197.108,207.281,227.9,257.642,206.698,222.94,261.552,291.47,264.276,250.62,224.691,226.364,221.364,190.354,235.221,331.691,,
Congo-Kinshasa,23.785,24.427,23.685,25.79,27.936,25.45,25.289,24.367,22.842,22.241,22.241,24.166,24.006,22.642,21.278,21.017,21.22,24.025,21.278,,
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cote d'Ivoire,6.771,4.833,6.571,23.648,25.525,39.765,59.898,47.934,41.463,43.221,38.367,32.416,28.621,24.646,17.736,26.723,29.458,37.323,30.217,,
Croatia,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cuba,2.651,0,0.073,0,0,0,1.158,1.192,1.133,1.97,1.345,0,0,0,0,0,0,0,0,,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
