Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,22977.04081,23948.05002,24755.53077,26612.6097,28861.65186,30899.90016,32486.74938,33269.40942,34724.12003,32121.86708,34590.54463,35812.69604,35738.12441,36575.59072,35968.72261,37039.49369,39001.25075,41839.16874,41892.90678,43811.72612,42617.63176,45456.10881,45371.49432,43063.5069
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2213.5442,2065.2212,2077.9346,2125.2567,2149.62405,2305.01005,2175.404,2061.33655,2077.58145,1860.04105,1970.22385,1761.86535,1787.29215,1649.2105,1568.294287,1529.140529,1896.707855,1898.099254,1807.311531,1503.446033,1370.869496,1917.381375,1710.967719,1821.019197
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,18.257855,17.6575,0,32.136377,174.32912,187.33351,193.3085,218.61434,167.29972,147.6174,174.047944
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,148.323,209.0648,206.2396,228.1349,274.39755,244.73295,216.8341,91.46585,33.54925,31.0772,14.8323,7.063,3.5315,3.072405,2.47205,2.8252,2.7545706,2.7192559,9.524857024,24.4111134,48.01216614,30.94255742,87.59673711,82.76940508
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,362.04938,344.10936,347.28771,375.89286,380.095345,508.571315,577.7534,688.35998,656.92963,740.096455,858.08387,958.484415,906.11227,1128.80866,1116.483725,1202.97016,2071.014082,2619.726207,3200.279449,3546.225075,3592.398226,3739.072111,3745.885122,3713.205542
Austria,0.63567,14.514465,18.85821,36.339135,52.937185,38.1402,92.31341,98.10507,70.453425,102.166295,175.338975,128.440655,225.3097,139.98866,89.311635,190.948205,244.9074445,192.2885415,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,45.2032,189.9947,205.18015,192.46675,222.13135,215.06835,271.2192,274.39755,258.5058,255.1155888,283.6498664,320.7264367,409.16911,476.74845,667.44783,791.04928,835.192655
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,25.108965,125.7214,113.184575,139.812085,44.77942,32.91358,29.94712,59.82361,24.2263924,26.274645,62.3108641,169.9028605,135.5993885,115.2844225,312.8246213,298.7798801
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,72.7489,136.3159,168.8057,175.8687,279.34165,361.6256,381.402,408.9477,416.36385,345.73385,411.41975,470.3958,519.8368,604.23965,628.67763,621.544,570.6555173,546.1118008,495.7972887,422.8253333,430.0267796,429.4584877,356.956034,276.0328327
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,1.773526525,11.02878081,1.320127052,3.194791804,0.066042797,18.27468215,4.750533444,2.829980282,0,0,2.65289931,0.04375496,3.573937774
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,310.41885,317.835,324.1917,341.49605,335.4925,323.13225,346.44015,330.159935,324.898,311.12515,311.83145,332.6673,313.5972,326.3106,276.1633,300.8838,283.4030235,316.1221297,295.0792836,306.7088133,293.1313548,264.7704338,222.6692302,202.4551456
