Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,22752.99756,23387.61361,25061.68423,26965.03412,29141.27843,30905.24573,33016.50743,34040.42423,35242.13603,32348.09413,35794.22361,37854.8215,37127.16874,37486.30144,36371.57648,37073.40114,38693.70227,42257.35519,42285.99842,43845.94817,42258.35788,45496.4294,45048.38388,43286.1215
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,28.252,61.4481,63.567,59.3292,45.9095,93.9379,127.48715,267.33455,314.65665,395.528,411.34912,376.81105,347.499849,412.0903633,347.1383177,242.4471641,257.0185464,291.8971541,219.981468,184.5115004
Armenia,49.79415,49.441,38.49335,46.6158,46.96895,60.0355,60.0355,72.53701,68.15795,54.73825,64.2733,73.10205,86.52175,85.10915,88.2875,72.39575,78.2573752,83.1308038,86.1077547,88.21622626,89.85467123,95.96712138,102.0311491,92.93044192
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,2.295475,0.77693,0,45.732925,205.003575,193.632145,228.20553,199.282545,230.46569,205.215465,230.147855,222.5664556,253.5906229,244.3806713,218.8588257,220.9453156,194.8427226,236.8852051,214.2169203,103.3114368,18.40012774
Austria,219.58867,222.34324,231.419195,284.28575,296.893205,347.99401,381.68452,353.609095,359.93048,378.965265,438.435725,472.550015,500.48418,366.534385,357.3878,405.380885,509.7323798,494.5823735,275.2346457,399.8896319,227.1280681,167.1121405,428.4443903,250.1629198
Azerbaijan,0,35.315,138.08165,143.73205,174.10295,161.0364,158.2112,0,0,8.82875,8.82875,8.82875,19.42325,15.89175,10.5945,7.063,17.5867806,64.95785918,57.69009392,35.26591819,4.843129112,18.36558541,35.7042691,76.73797709
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895113432,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.53241308,172.9129046,200.660829,219.8512144,208.5561032,239.6262976
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099577,0.242361368,0.190030786,0.212748219,0.241,0.297,0.48708,0.87
Belarus,685.111,628.607,591.52625,628.607,572.8093,710.89095,734.552,727.489,745.1465,621.544,762.804,742.3213,731.37365,715.83505,708.06575,610.9495,605.652295,618.8599928,661.6926293,659.4468452,610.788189,623.4166563,599.5701066,545.0094972
Belgium,549.64266,543.674425,565.145945,589.583925,602.68579,613.386235,622.17967,616.74116,641.850125,745.07587,837.777745,771.2796,668.23043,676.458825,597.777005,664.381095,646.9003185,639.307658,707.2784413,827.7447838,772.8592286,759.229222,860.9551841,812.4734123
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386617,1.05441,1.124704,0.070294,1.411819843,0.673275932,1.968513176,5.793807215,6.431303501,5.562610249,5.553226
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,10.5945,10.5945,5.6504,5.6504,10.5945,14.126,14.126,11.3008,10.94765,7.41615,8.12245,9.1819,8.4756,8.4756,5.968235,7.063,7.3808323,8.0164969,8.003539623,7.707649087,6.893729248,7.955800566,7.974909277,8.081937691
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,75.92725,162.449,185.7569,187.8758,266.9814,312.1846,334.0799,353.8563,389.52445,298.0586,444.969,370.1012,484.87495,592.23255,603.6917246,663.1499123,462.2143706,369.2847265,376.2192592,341.9725957,273.2290919,586.2709724,311.7539431,224.4560979
