Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,383.7086581,386.592103,395.3047001,409.653304,430.9586336,444.8127555,459.0505501,472.0373338,477.5954038,471.8206998,503.1391268,516.1992532,525.5861263,533.7343196,537.5275684,537.6943556,543.5211027,548.5314636,561.6525465,568.3678201,543.3595971,569.2793047,578.2404637,590.8653776
Afghanistan,0.018042878,0.012450843,0.011357232,0.013540179,0.012682489,0.017109714,0.022283409,0.026472342,0.0513188,0.08618441,0.110019402,0.141232993,0.133145623,0.108742413,0.090866072,0.105617793,0.095797059,0.124602594,0.158639038,0.160751219,0.160069511,0.162313214,0.153909199,0.14010145
Albania,0.067161628,0.068568842,0.077141979,0.079172688,0.085351607,0.084436041,0.080273998,0.078962765,0.081529918,0.08222285,0.075775112,0.081782366,0.07673134,0.089938222,0.087853264,0.082019821,0.091312362,0.099942583,0.095516638,0.084954345,0.072053972,0.086974533,0.088254245,0.077057932
Algeria,1.2737811,1.275108223,1.307075955,1.32136261,1.293772142,1.486850024,1.558283454,1.54829654,1.675616394,1.782201981,1.776668624,1.934856626,2.094443197,2.035580507,2.298357873,2.350842125,2.334051166,2.362300671,2.501772773,2.611924713,2.470805263,2.650906054,2.767185744,2.854935731
American Samoa,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004928037,0.004918333,0.004918333,0.004918331,0.004935202,0.00492857,0.00492857,0.00492857,0.004695678,0.005419606,0.005419432,0.005389223
Angola,0.104617736,0.113288043,0.120497654,0.133961471,0.145848162,0.11947128,0.151289571,0.178052498,0.207535513,0.239983866,0.260623874,0.27259565,0.293782789,0.318747262,0.352225665,0.370185295,0.331689199,0.286190984,0.310767384,0.324513117,0.260420911,0.293617551,0.329978693,0.336103821
Antarctica,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.003309366,0.003309366,0.003352821,0.000155233,0.000204568,0.000204568,0.000204568,0.000193147,0.000192625,0.000192625,0.000192823,0.000192658,0.000186509,0.000186509,0.000186509,0.000157013,0.000167079,0.000175935,0.000194648
Antigua and Barbuda,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009680309,0.009651205,0.00991836,0.009918701,0.010141497,0.010352856,0.010506393,0.009987372,0.009954701,0.010327558,0.009978434,0.010374957,0.010422149,0.01027542
Argentina,2.577068131,2.476672749,2.332173546,2.578386064,2.825528698,2.934261015,3.069518614,3.216665898,3.367124372,3.245042341,3.408619434,3.496944151,3.566722347,3.60543506,3.61946737,3.684341088,3.695462113,3.516297328,3.399835976,3.589389572,3.193697802,3.527865054,3.587070981,3.574586677
Armenia,0.091591731,0.09193771,0.083343954,0.090654978,0.094623781,0.113293558,0.113099632,0.128316854,0.123390124,0.1078196,0.118258124,0.125252291,0.135686034,0.13369839,0.137690385,0.125820783,0.126168458,0.135854326,0.13329764,0.141187869,0.152650496,0.156472679,0.174209615,0.160972292
